HIP,Name,RA_deg,Dec_deg,Magnitude
88544,,271.20456,-45.583678,7.65
60249,,185.308905,3.707721,8.35
60263,,185.35090499999998,-50.969997,9.67
88564,,271.25316,-44.753621,10.08
60292,,185.45033999999998,-34.780027,9.4
88567,,271.25511,-29.580087,4.66
88579,,271.29118500000004,-63.742259,8.64
60313,,185.508645,16.74473,6.67
88612,,271.3851,-1.965561,8.27
88685,,271.568025,38.400397,8.46
88707,,271.64478,83.683055,7.61
60350,,185.62338,40.826549,11.6
88726,,271.70787,-43.425216,4.92
60354,,185.634045,20.617872,10.83
88727,,271.711245,24.311298,7.62
60360,,185.65222500000002,-49.326128,7.9
60363,,185.66293499999998,-42.36594,10.82
88753,,271.77533999999997,-1.770516,8.23
60369,,185.67856500000002,-27.761966,9.18
88763,,271.815885,-59.609055,8.41
60383,,185.70997500000001,39.275626,8.18
60394,,185.75025,-64.730341,7.12
88799,,271.902675,58.975686,8.43
60398,,185.75277,64.030831,11.63
88804,,271.91893500000003,-18.026032,8.59
60405,,185.78097,-41.045483,8.11
88815,,271.95154499999995,-64.550177,6.4
60423,,185.836125,19.65994,8.26
88823,,271.970175,45.048088,9.51
88828,,271.987335,-19.399131,9.84
88845,,272.04075,-40.061036,8.95
88847,,272.05154999999996,30.998887,7.43
88875,,272.159415,18.63575,8.25
60496,,186.03782999999999,36.330084,9.77
88905,,272.22519,-25.473058,6.76
88925,,272.281815,-33.56391,8.31
88926,,272.28435,-33.316826,8.95
88928,,272.288715,-15.059069,8.39
88931,,272.29764,14.026083,7.61
88935,,272.30971500000004,-57.786603,7.72
88963,,272.38872000000003,-10.822355,8.83
88971,,272.407065,-34.073074,9.26
88991,,272.45599500000003,-27.19403,10.22
60614,,186.34614,37.724285,11.59
60617,,186.35751,-30.025069,8.59
89040,,272.608035,-41.756422,9.09
60626,,186.37608,4.898896,8.88
89043,,272.610585,-24.43682,9.87
60642,,186.43114500000001,-25.76762,10.07
60652,,186.471975,62.182302,9.65
89065,,272.667915,3.324256,5.5
60663,,186.497445,-17.928979,8.14
89067,,272.674245,46.981528,9.08
60671,,186.510735,39.894284,8.22
89069,,272.678955,5.979431,9.21
89081,,272.70792,4.434204,7.4
89113,,272.813445,69.249929,8.33
89529,,274.0281,-18.617483,11.27
61919,,190.354965,-53.552988,9.96
89551,,274.09251,10.81481,7.58
61927,,190.37004,49.290545,6.89
89552,,274.096425,-40.472144,7.34
61926,,190.370175,-47.623204,9.23
89561,,274.13140500000003,23.398608,7.32
61928,,190.371285,-56.304569,7.86
89587,,274.22125500000004,-3.007401,5.99
61946,,190.435275,55.724674,8.27
89592,,274.239555,-27.715878,6.66
61959,,190.469145,-64.728728,7.37
89600,,274.26849000000004,11.492206,8.69
61960,,190.471065,10.235625,4.88
89608,,274.29393,1.884669,10.34
62029,,190.71148499999998,-69.989396,8.74
89616,,274.319475,-42.918934,9.89
62074,,190.82856,26.419709,9.67
89619,,274.344045,-7.286372,8.37
62080,,190.85907,67.765774,8.46
89667,,274.471065,32.033266,9.56
62089,,190.882005,-18.869702,8.1
89682,,274.53084,43.569675,9.03
62118,,190.96788,-32.051393,9.47
89684,,274.532145,18.131691,6.24
62123,,190.97274,-25.041478,8.58
89688,,274.55037,11.396269,7.17
62135,,191.018235,-45.02203,11.7
89802,,274.91188500000004,16.652283,9.17
62260,,191.383455,-4.810942,7.18
89865,,275.080305,65.321892,7.97
62266,,191.404245,61.881852,8.46
89873,,275.09224500000005,-80.239296,7.36
62279,,191.44646999999998,-12.220762,8.72
89876,,275.102325,-82.505481,7.64
62298,,191.48425500000002,24.724685,10.13
89896,,275.150955,10.103937,7.75
62329,,191.59557,-18.219851,7.29
89906,,275.188065,-41.346389,8.74
62331,,191.60046,2.32784,8.34
89938,,275.25951,-15.230683,6.94
62357,,191.66496,36.848465,9.16
89947,,275.28789,28.33422,8.77
